系統識別碼,填寫時間,溝通表達,持續學習,人際互動,團隊合作,問題解決,創新,工作責任及紀律,資訊科技應用,,,,
1119766799,2022/09/22,4.00,3.57,4.00,3.86,3.50,3.83,3.86,3.75,,,,
1119766799,2025/03/24,4.00,3.43,4.00,3.86,3.83,3.50,4.00,3.88,,,,
1124666649,2025/02/26,4.00,3.29,4.17,4.71,4.00,3.50,5.00,3.63,,,,
1124666649,2023/09/08,3.43,3.71,3.67,4.57,3.83,3.17,4.29,3.75,,,,
1129644699,2023/09/08,5.00,3.71,5.00,5.00,4.00,4.17,5.00,5.00,,,,
1129644699,2025/06/20,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,
1104733749,2023/12/21,3.57,4.00,3.17,3.71,3.83,3.67,4.14,4.50,,,,
1104733749,2021/12/10,3.43,4.14,3.67,4.00,3.67,3.50,4.43,4.25,,,,
1110755709,2023/01/03,2.86,4.00,4.00,4.43,4.17,2.83,4.57,3.50,,,,
1110755709,2025/03/24,3.71,5.00,5.00,4.86,5.00,5.00,4.00,3.88,,,,
1111666619,2022/08/24,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,
1111666619,2023/01/01,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,
1111688619,2022/09/01,3.86,4.57,4.50,5.00,4.00,3.83,5.00,3.50,,,,
1111688619,2025/03/24,3.00,3.14,3.83,3.86,2.33,2.83,3.86,2.25,,,,
1111744719,2023/01/03,4.29,3.86,3.67,4.71,2.67,2.33,4.71,3.88,,,,
1111744719,2025/03/24,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,
1112655629,2022/12/28,3.86,3.57,4.50,4.00,4.00,3.33,4.00,3.88,,,,
1112655629,2025/03/24,4.00,4.00,4.00,4.00,4.00,4.00,3.86,4.00,,,,
1112666629,2023/01/04,2.43,2.29,2.33,2.86,2.67,2.50,3.29,3.00,,,,
1112666629,2025/03/24,3.29,2.29,2.33,3.14,2.83,2.50,3.86,3.25,,,,
1112744729,2023/01/03,3.43,3.14,4.00,3.86,3.83,4.00,4.00,4.00,,,,
1112744729,2025/03/24,4.57,5.00,5.00,5.00,4.00,4.00,4.00,4.00,,,,
1113655639,2023/01/03,3.71,3.86,4.00,4.57,3.67,3.50,4.00,3.75,,,,
1113655639,2025/03/24,4.14,3.86,4.00,4.00,3.67,3.83,4.14,3.50,,,,
1113666639,2023/01/03,3.71,3.14,3.00,3.57,3.17,3.00,4.14,3.00,,,,
1113666639,2025/03/24,4.57,3.29,4.50,4.57,3.50,4.00,4.14,4.25,,,,
1114622649,2025/02/23,3.43,3.43,2.83,3.43,3.67,3.33,3.57,3.13,,,,
1114622649,2025/04/15,3.57,3.57,2.67,3.57,3.00,3.50,3.43,3.13,,,,
1114744749,2023/01/03,3.71,3.86,4.00,3.86,3.50,3.67,4.00,3.75,,,,
1114744749,2025/03/24,3.71,3.86,3.67,3.71,3.67,3.83,3.57,3.38,,,,
1114766749,2023/01/03,4.14,4.14,4.83,4.29,4.00,4.00,4.43,3.50,,,,
1114766749,2025/03/24,4.00,3.86,4.00,3.57,4.00,3.33,4.00,3.63,,,,
1115655659,2023/01/03,2.71,2.43,3.83,4.57,3.83,3.33,4.43,3.75,,,,
1115655659,2025/03/24,3.29,3.57,4.00,4.43,5.00,3.83,3.14,3.63,,,,
1115666659,2023/01/03,3.86,2.14,3.33,3.71,3.33,3.33,4.57,2.50,,,,
1115666659,2025/03/24,2.57,2.57,3.00,3.86,3.83,3.67,4.71,3.00,,,,
1116644669,2022/09/22,3.29,3.57,3.83,3.86,2.33,2.50,4.14,4.00,,,,
1116644669,2025/03/24,3.71,3.71,3.83,4.57,3.67,3.17,5.00,4.00,,,,
1116688669,2022/11/22,3.29,2.71,3.17,4.14,3.50,2.67,3.86,3.00,,,,
1116688669,2025/03/24,3.71,2.43,3.17,4.29,3.67,2.50,4.00,3.63,,,,
1116744769,2022/09/24,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,
1116744769,2025/03/24,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,
1116788769,2022/09/21,2.86,2.14,3.67,4.00,2.33,2.00,4.29,3.63,,,,
1116788769,2025/03/24,3.14,2.71,3.50,3.86,3.17,3.50,3.29,2.75,,,,
1117644679,2023/01/03,4.29,3.86,4.50,4.71,4.00,4.33,4.14,4.13,,,,
1117644679,2025/03/24,3.43,3.57,3.83,3.86,3.83,4.00,3.71,3.88,,,,
1118666689,2022/09/22,3.86,4.14,4.00,4.57,4.17,3.50,4.14,3.63,,,,
1118666689,2025/03/24,4.00,3.71,3.83,4.71,4.33,4.00,4.43,3.50,,,,
1118755789,2023/01/03,3.86,4.00,4.17,4.71,3.50,4.17,5.00,3.63,,,,
1118755789,2025/03/24,4.00,3.71,3.50,4.57,3.67,3.83,5.00,4.38,,,,
1119666699,2023/01/02,4.57,4.57,4.33,4.29,4.00,3.83,4.43,3.75,,,,
1119666699,2025/03/24,4.14,3.71,4.00,4.71,3.83,4.17,4.86,4.25,,,,
1119788799,2022/08/26,4.57,4.14,4.50,4.86,4.33,4.50,4.71,5.00,,,,
1119788799,2025/03/24,4.43,4.43,4.83,4.86,4.33,4.50,5.00,5.00,,,,
1100777709,2023/12/21,4.14,4.29,3.67,4.00,5.00,4.33,4.29,5.00,,,,
1100777709,2023/05/27,4.29,4.71,3.83,4.43,4.33,5.00,4.29,5.00,,,,
1100788709,2025/02/26,3.29,3.57,4.00,3.86,3.67,2.83,4.43,4.00,,,,
1100788709,2024/06/11,3.86,4.71,4.00,4.43,4.67,3.50,4.57,4.75,,,,
1100788709,2024/03/05,4.43,4.57,3.83,4.43,4.17,3.33,3.57,4.25,,,,
1100788709,2023/12/21,4.14,4.00,4.33,4.29,4.50,3.17,4.14,3.88,,,,
1100788709,2023/03/15,3.86,3.43,4.00,4.29,3.83,2.17,4.00,4.00,,,,
1101633619,2025/02/27,4.00,3.86,4.00,3.71,3.67,4.00,4.14,3.88,,,,
1101633619,2024/06/14,3.71,3.57,4.00,3.57,3.67,3.33,3.57,3.75,,,,
1102688629,2025/02/13,2.71,3.14,3.00,2.86,2.50,3.33,3.29,2.75,,,,
1102688629,2024/02/21,2.71,2.71,2.50,2.86,2.67,3.00,2.71,2.88,,,,
1102688629,2024/03/06,2.57,3.29,3.17,2.71,3.17,2.83,3.57,2.88,,,,
1102688629,2024/06/05,4.14,3.57,4.00,4.71,4.33,3.67,4.29,4.13,,,,
1102688629,2023/12/21,5.00,4.14,5.00,5.00,3.50,4.33,4.43,3.75,,,,
1102688629,2023/09/19,3.43,3.14,3.17,3.14,3.00,2.33,2.86,3.25,,,,
1108677689,2025/02/26,4.00,3.71,3.50,4.57,4.17,4.17,4.43,4.38,,,,
1108677689,2023/12/21,4.43,4.14,5.00,4.57,5.00,4.83,5.00,4.75,,,,
1108677689,2024/03/11,3.86,3.43,4.33,4.86,3.83,3.67,4.43,3.75,,,,
1108677689,2024/06/04,4.29,3.86,4.00,4.86,4.67,3.83,4.86,4.25,,,,
1108677689,2023/09/20,4.43,3.86,4.33,4.71,3.83,4.50,5.00,4.25,,,,
1110788709,2025/02/12,3.00,3.86,4.00,4.00,3.50,3.17,3.71,3.38,,,,
1110788709,2024/06/06,3.57,3.86,3.67,3.86,3.50,3.50,3.86,3.00,,,,
1110788709,2022/12/15,2.57,2.57,3.50,3.43,2.50,2.33,3.57,2.25,,,,
1112688629,2023/01/04,3.86,4.43,4.17,4.14,4.00,4.17,4.14,4.00,,,,
1113744739,2023/01/03,3.43,2.86,3.67,3.86,3.00,2.33,3.57,3.50,,,,
1114688649,2023/01/03,3.14,3.14,3.50,3.43,3.33,2.83,4.14,4.00,,,,
1114777749,2023/01/04,3.29,4.29,2.67,3.86,3.00,3.00,3.57,3.75,,,,
1114788749,2023/01/03,4.14,4.29,4.33,4.14,4.00,4.17,4.14,3.63,,,,
1115688659,2023/01/03,3.86,4.71,3.17,3.86,4.33,3.33,4.00,4.50,,,,
1115766759,2023/01/03,3.86,3.29,3.83,4.00,4.17,3.33,3.57,4.13,,,,
1115777759,2023/01/01,4.14,3.86,3.83,3.86,4.17,3.50,3.71,4.13,,,,
1116766769,2023/01/02,3.57,3.57,3.67,3.71,3.67,3.17,4.43,4.00,,,,
1117622679,2024/09/23,4.29,4.00,4.33,4.71,2.33,4.67,5.00,3.25,,,,
1117622679,2025/03/24,3.71,4.00,4.17,3.86,3.50,4.33,4.00,4.25,,,,
1118688689,2023/01/03,4.00,4.00,4.50,4.43,4.50,4.33,4.57,4.88,,,,
1119677699,2025/02/26,2.86,3.14,3.33,4.00,2.83,3.33,2.57,3.00,,,,
1119677699,2024/06/14,3.00,3.00,3.67,3.86,2.67,2.67,3.71,2.88,,,,
1119677699,2023/04/19,3.71,3.86,4.33,3.86,3.17,2.50,4.71,3.00,,,,
1119677699,2024/03/13,3.43,3.29,3.83,4.29,3.00,2.00,3.57,4.00,,,,
1119677699,2023/09/24,3.00,2.57,4.00,4.00,3.00,2.33,3.86,2.88,,,,
1119766799,2023/01/03,3.57,3.57,4.33,3.71,3.83,3.67,4.71,3.88,,,,
1124666649,2024/02/19,3.57,3.86,4.17,4.57,3.17,2.33,4.14,2.38,,,,
1125777759,2023/10/26,2.71,3.57,2.83,3.29,5.00,3.00,3.14,4.75,,,,
1125777759,2023/09/08,5.00,4.14,3.00,3.57,4.67,4.50,4.14,3.88,,,,
1129644699,2025/02/18,3.57,2.71,4.00,4.14,5.00,5.00,4.43,5.00,,,,
1129644699,2024/08/13,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,
1130666609,2024/09/23,3.86,3.71,4.67,4.00,4.00,4.00,4.71,4.25,,,,
1130666609,2025/04/12,3.86,3.43,4.00,3.43,3.67,3.67,4.14,4.13,,,,
1135777759,2025/04/09,4.00,3.71,4.17,4.29,4.50,4.17,3.00,4.63,,,,
1135777759,2025/07/04,3.57,3.57,3.83,4.14,4.67,4.33,4.57,4.38,,,,
